Place,Car Num,Team,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,AdjTime,,,Best Time,Penalty,Score
42,115,Univ of Victoria,69.069,1,,,71.069,79.47,,,,79.47,62.015,1,,,64.015,61.073,1,,63.073,,,63.073,,39.08
43,69,Univ of Saskatchewan,69.72,,,,69.72,63.256,,,,63.256,,,,,DNA,,,,DNA,,,63.256,,38.23
44,52,Virginia Tech,65.612,3,1,,91.612,63.479,,,,63.479,,,,,DNA,,,,DNA,,,63.479,,37.2
45,121,The Ohio State University,66.562,,,,66.562,61.701,1,,,63.701,66.515,,,,66.515,64.874,,,64.874,,,63.701,,36.17
46,62,North Carolina State Univ - Raleigh,65.084,2,1,,89.084,63.843,,,,63.843,68.744,,,,68.744,64.613,,,64.613,,,63.843,,35.52
47,84,Worcester Polytechnic Inst,64.444,,,,64.444,70.98,1,1,,92.98,64.716,,,,64.716,70.975,,,70.975,,,64.444,,32.79
48,79,Univ of North Carolina - Charlotte,62.484,1,,,64.484,60.784,,1,,80.784,81.675,,1,,101.675,,,,DNA,,,64.484,,32.61
49,104,Saginaw Valley State Univ,69.611,,,,69.611,67.135,,,,67.135,66.365,,,,66.365,64.541,,,64.541,,,64.541,,32.36
50,126,Univ of Nebraska - Lincoln,69.802,,,,69.802,64.754,,,,64.754,74.661,3,,,80.661,69.135,,,69.135,,,64.754,,31.41
51,82,Minnesota State University - Mankato,65.47,,1,,85.47,63.09,,1,,83.09,64.83,,,,64.83,64.257,3,1,90.257,,,64.83,,31.07
52,46,Universidad Simon Bolivar,74.744,1,,,76.744,65.127,,,,65.127,,,,,DNA,,,,DNA,,,65.127,,29.75
53,50,Clarkson University,71.059,,2,,111.059,64.548,,7,,204.548,69.002,,,,69.002,65.153,,,65.153,,,65.153,,29.64
54,59,Kookmin Univ,69.669,,,,69.669,67.022,,,,67.022,64.201,,2,,104.201,65.302,,,65.302,,,65.302,,28.99
55,72,Wayne State Univ,83.199,3,,,89.199,65.555,,,,65.555,148.668,4,,,156.668,67.636,,,67.636,,,65.555,,27.88
56,57,Florida International Univ,77.611,,,,77.611,68.627,,,,68.627,65.705,,,,65.705,65.967,,,65.967,,,65.705,,27.23
57,30,Michigan Tech Univ,71.829,,,,71.829,70.175,,1,,90.175,69.901,,,,69.901,65.963,,,65.963,,,65.963,,26.12
58,60,US Naval Academy,69.083,,,,69.083,65.999,,,,65.999,65.05,,2,,105.05,75.519,,1,95.519,,,65.999,,25.97
59,74,Columbia Univ,66.337,,,,66.337,64.017,1,,,66.017,,,,,DNA,,,,DNA,,,66.017,,25.89
60,111,Duke Univ,70.351,3,,,76.351,81.59,4,,,89.59,80.585,,1,,100.585,66.031,,,66.031,,,66.031,,25.83
61,117,Penn State Univ - Harrisburg,102.285,1,2,,144.285,66.87,,2,,106.87,69.617,,,,69.617,66.12,,,66.12,,,66.12,,25.45
62,99,Villanova Univ,78.585,2,,,82.585,68.404,,,,68.404,69.721,,,,69.721,66.206,,,66.206,,,66.206,,25.08
63,40,Washington Univ - St Louis,67.835,2,1,,91.835,64.978,3,1,,90.978,66.591,,,,66.591,70.093,,1,90.093,,,66.591,,23.45
64,66,Florida Atlantic Univ,73.349,2,2,,117.349,70.783,3,,,76.783,66.795,,,,66.795,70.623,,,70.623,,,66.795,,22.6
,,,,,,Minimum Time (seconds),,,,,48.881,,,,,Cone Penalty (seconds),,,,,,2.0,,,,
,,,,,,Maximum Time (seconds),,,,,70.878,,1.45,,,Off Course Penalty (seconds),,,,,,20.0,,,,
,,,Run #1,,,,,Run #2,,,,,Run #3,,,,,Run #4,,,,,,,,
Place,Car Num,Team,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,AdjTime,,,Best Time,Penalty,Score
65,118,Alabama A & M Univ,66.855,,,,66.855,63.051,,1,,83.051,,,,,DNA,,,,DNA,,,66.855,,22.35
66,54,Univ of Guelph,76.705,,2,,116.705,74.177,3,,,80.177,71.719,,,,71.719,66.94,,,66.94,,,66.94,,21.99
67,20,Ryerson Univ,80.849,,,,80.849,73.943,,,,73.943,71.837,,,,71.837,67.068,,,67.068,,,67.068,,21.46
68,53,Georgia Southern Univ,70.824,,,,70.824,80.232,3,2,,126.232,67.256,,,,67.256,65.789,,1,85.789,,,67.256,,20.68
69,78,Embry-Riddle Aero Univ - Daytona Beach,73.641,,,,73.641,67.776,,,,67.776,,,,,DNA,,,,DNA,,,67.776,,18.55
70,88,Cegep du Vieux - Montreal,70.792,,,,70.792,67.923,,,,67.923,74.654,,,,74.654,72.51,,,72.51,,,67.923,,17.96
71,43,US Air Force Academy,68.061,,,,68.061,,,,,DNA,,,,,DNA,,,,DNA,,,68.061,,17.4
72,112,Western Michigan Univ,82.477,,,,82.477,79.412,,,,79.412,76.426,,,,76.426,68.597,,,68.597,,,68.597,,15.26
73,91,Univ of North Florida,70.767,,2,,110.767,69.138,,1,,89.138,69.798,1,2,,111.798,68.681,,,68.681,,,68.681,,14.92
74,101,Central Michigan Univ,68.919,,,,68.919,66.325,1,1,,88.325,75.325,,,,75.325,,,,DNA,,,68.919,,13.98
75,119,Univ of Manitoba,DNF,,,,DNF,71.699,1,1,,93.699,77.295,,,,77.295,69.029,,,69.029,,,69.029,,13.55
76,103,Universite Du Quebec-Chicoutimi,68.169,,1,,88.169,71.299,,,,71.299,71.303,1,1,,93.303,69.44,,,69.44,,,69.44,,11.95
77,63,Univ of Hartford,70.112,,,,70.112,148.655,2,1,,172.655,72.804,,,,72.804,73.691,,1,93.691,,,70.112,,9.38
78,76,Universite de Sherbrooke,79.41,,,,79.41,70.206,,,,70.206,86.305,,,,86.305,73.455,,,73.455,,,70.206,,9.02
79,25,Lehigh Univ,83.267,2,,,87.267,72.536,,,,72.536,74.034,,,,74.034,70.474,,,70.474,,,70.474,,8.01
80    T,106,Mississippi State Univ,DNF,1,1,,DNF,74.75,,,,74.75,69.18,1,,,71.18,,,,DNA,,,71.18,,6.5
80    T,124,Temple Univ,76.259,,,,76.259,71.62,,,,71.62,73.242,,1,,93.242,69.73,1,,71.73,,,71.62,,6.5
80    T,42,Brown Univ,72.373,,2,,112.373,74.121,,2,,114.121,71.854,,,,71.854,73.893,,1,93.893,,,71.854,,6.5
80    T,70,St Cloud State Univ,65.684,,1,,85.684,92.469,,,,92.469,83.401,,,,83.401,72.799,,,72.799,,,72.799,,6.5
80    T,6,San Jose State University,73.425,,,,73.425,80.744,,,,80.744,70.081,2,1,,94.081,,,,DNA,,,73.425,,6.5
80    T,29,York College of Pennsylvania,90.253,,,,90.253,78.212,,,,78.212,74.317,,,,74.317,70.173,2,,74.173,,,74.173,,6.5
80    T,87,Washington State Univ,80.5,,,,80.5,74.295,,,,74.295,,,,,DNA,,,,DNA,,,74.295,,6.5
80    T,11,Colorado Mesa University,82.194,,,,82.194,74.634,,,,74.634,,,,,DNA,,,,DNA,,,74.634,,6.5
80    T,85,Texas Tech Univ,75.998,,,,75.998,77.78,,,,77.78,,,,,DNA,,,,DNA,,,75.998,,6.5
80    T,32,Grand Valley State Univ,85.692,1,2,,127.692,85.283,,,,85.283,83.551,,,,83.551,77.957,,,77.957,,,77.957,,6.5
80    T,15,Univ of Evansville,107.007,3,,,113.007,72.365,3,,,78.365,91.991,1,1,,113.991,89.474,,1,109.474,,,78.365,,6.5
80    T,24,Tennessee Tech Univ,86.245,2,1,,110.245,80.139,,,,80.139,,,,,DNA,,,,DNA,,,80.139,,6.5
80    T,89,Cooper Union,80.652,,,,80.652,,,,,DNA,,,,,DNA,,,,DNA,,,80.652,,6.5
80    T,108,Northwestern Univ,76.758,,1,,96.758,76.469,1,2,,118.469,80.989,1,,,82.989,,,,DNA,,,82.989,,6.5
80    T,128,South Dakota State Univ,85.594,,,,85.594,94.632,1,1,,116.632,,,,,DNA,,,,DNA,,,85.594,,6.5
80    T,37,Univ of Illinois - Urbana Champaign,82.95,,2,,122.95,68.929,,2,,108.929,91.519,1,,,93.519,87.562,,,87.562,,,87.562,,6.5
