Place,Car Num,Team,Raw Score,,Penalty,,,Status,,,,Score,,,,,,,,,,
79   T,41,Grand Valley State Univ,55,,,,,,,,,55,,,,,,,,,,
79   T,44,IPN - UPIITA,55,,,,,,,,,55,,,,,,,,,,
79   T,49,Univ of Louisiana - Lafayette,55,,,,,,,,,55,,,,,,,,,,
79   T,68,Penn State Univ - University Park,55,,,,,,,,,55,,,,,,,,,,
79   T,70,Penn State Univ - Harrisburg,55,,,,,,,,,55,,,,,,,,,,
79   T,72,Florida International Univ,55,,,,,,,,,55,,,,,,,,,,
79   T,73,Louisiana State Univ,55,,,,,,,,,55,,,,,,,,,,
79   T,79,Georgia Southern Univ,55,,,,,,,,,55,,,,,,,,,,
79   T,83,Univ of British Columbia - Okanagan,55,,,,,,,,,55,,,,,,,,,,
79   T,101,Mississippi State Univ,55,,,,,,,,,55,,,,,,,,,,
79   T,104,South Dakota School of Mines & Tech,55,,,,,,,,,55,,,,,,,,,,
79   T,105,Worcester Polytechnic Inst,55,,,,,,,,,55,,,,,,,,,,
79   T,107,Univ of South Florida,55,,,,,,,,,55,,,,,,,,,,
79   T,108,Colorado Mesa University,55,,,,,,,,,55,,,,,,,,,,
79   T,113,Dalhousie Univ,55,,,,,,,,,55,,,,,,,,,,
79   T,114,Binghamton Univ,55,,,,,,,,,55,,,,,,,,,,
79   T,117,Columbia Univ,55,,,,,,,,,55,,,,,,,,,,
99   T,93,Universite Du Quebec a Trois-Rivieres,55,,10,,,,,,,45,,,,,,,,,,
99   T,97,Washington State Univ,45,,,,,,,,,45,,,,,,,,,,
99   T,102,Lawrence Technological Univ,45,,,,,,,,,45,,,,,,,,,,
99   T,110,US Naval Academy,45,,,,,,,,,45,,,,,,,,,,
99   T,120,Universidad Autonoma Estado Mexico,55,,10,,,,,,,45,,,,,,,,,,
99   T,125,South Dakota State Univ,55,,10,,,,,,,45,,,,,,,,,,
99   T,131,Polytechnic Univ of Puerto Rico,55,,10,,,,,,,45,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,106,Place
,,,,129,116,112,96,,95,87,61,,59,53,48,,25,22,17,15,98,Car Num
,,,,California State Univ - Fullerton,West Virginia Univ,Alabama A & M Univ,Central Michigan Univ,,Univ of Louisville,California State Poly Univ - Pomona,Queen's Univ,,Warsaw University of Technology,Ferris State University,Vaughn College of Aeronautics,,Florida A&M Univ/Florida State Univ,Auburn Univ,Bradley Univ,Embry-Riddle Aero Univ - Daytona Beach,Universidad Metropolitana,Team
,,,,,,,,,,,,,,,,,,,,,45,Raw Score
,,,,,,,,,,,,,,,,,,,,,10,Penalty
,,,,,,,,,,,,,,,,,,,,,,Status
,,,,,,,,,,,,,,,,,,,,,35,Score
