Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Acceleration Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg),Best Time
<=90,66.0,South Dakota State Univ_2023,,6.2,30.1,60.0,,,,>=15,100.0,227.1,15600.0,195.31,0.697,,,1841.102,,1953.102,5.8,10.0,25.0,,2.0,670.0,213.6,
<=90,91.0,Tennessee Tech Univ_2023,,64.5,37.8,55.0,>=50,<25,<40,,,241.8,9366.0,,,,61.004,,,,,,,9.156,2.0,627.0,186.4,5.045
>90,136.0,Texas Tech Univ_2023,,47.6,46.1,40.0,<50,<25,<40,<15,,158.2,13264.0,,,,100.906,958.646,,,-,5.0,10.0,6.806,1.0,450.0,181.4,12.932
>90,67.0,UP Aguascalientes_2023,-20.0,31.5,38.6,10.0,,,,,,60.1,74149.0,,,,,,,,,,,,4.0,600.0,284.4,
>90,68.0,Univ of Alberta_2023,-10.0,36.0,33.8,50.0,,,,,,109.8,19423.0,,,,,,,,,,,,1.0,690.0,207.7,
>90,41.0,Univ of British Columbia_2023,,19.5,41.7,80.0,,,,,,141.2,23853.0,,,,,,,,,,,,4.0,600.0,208.2,
>90,40.0,Univ of Calif - Irvine_2023,,,36.8,40.0,,,,,,76.8,,,,,,,,,,,,,4.0,600.0,241.8,
<=90,39.0,Univ of Central Florida_2023,,53.6,35.2,80.0,,,,,,168.8,19405.0,,,,,,,,,,,,4.0,636.0,207.7,
>90,118.0,Univ of Georgia_2023,,57.0,39.6,10.0,,,,,,106.6,13947.0,,,,,,,,,,,,4.0,600.0,237.7,
<=90,60.0,Univ of Hartford_2023,,51.1,29.0,50.0,<50,<25,<40,>=15,,223.9,15097.0,207.082,,,60.556,1744.817,,2070.817,-,10.0,25.0,6.141,1.0,450.0,209.1,5.452
>90,52.0,Univ of Manitoba_2023,,47.7,49.6,60.0,,,,,,157.3,17452.0,,,,,,,,,,,,1.0,450.0,194.6,
>90,132.0,Univ of Massachusetts - Lowell_2023,,44.2,45.7,40.0,,,,,,129.9,17160.0,,,,,,,,,,,,4.0,600.0,230.0,
<=90,38.0,Univ of Michigan - Dearborn_2023,,59.0,64.6,60.0,,,,,,183.6,21631.0,,,,,,,,,,,,1.0,450.0,190.1,
>90,109.0,Univ of Minnesota - Duluth_2023,,52.0,30.1,15.0,,,,,,97.0,12831.0,,,,,,,,,,,,1.0,625.0,248.1,
<=90,98.0,Univ of Nebraska - Lincoln_2023,,82.2,48.4,110.0,,,,,,240.6,12594.0,,,,,,,,,,,,4.0,675.0,222.3,
<=90,102.0,Univ of North Texas_2023,,34.0,22.8,55.0,>=50,<25,<40,,,189.8,14747.0,,,,63.795,,,,,,,7.363,3.0,675.0,213.6,4.917
<=90,64.0,Univ of Saskatchewan_2023,,60.9,51.3,55.0,,,<40,,,173.6,16133.0,,,,74.004,0.0,,,-,0.0,,,4.0,600.0,235.9,
>90,120.0,Univ of Toledo_2023,,50.1,,60.0,,,,,,110.1,12905.0,,,,,,,,,,,,2.0,470.0,212.3,
>90,128.0,Universidad Autonoma Estado Mexico_2023,,85.6,53.8,10.0,,,,,,149.4,10535.0,,,,,,,,,,,,4.0,600.0,244.9,
>90,79.0,Universidad Panamericana Sede Guadalajar_2023,,65.6,22.3,40.0,,,,,,127.9,16769.0,,,,,,,,,,,,4.0,600.0,277.1,
>90,69.0,Universite de Sherbrooke_2023,,69.5,35.1,50.0,,,,,,154.6,13922.0,,,,,,,,,,,,2.0,500.0,192.3,
>90,116.0,Washington State Univ_2023,,29.3,,25.0,,,,,,54.3,17376.0,,,,,,,,,,,,4.0,650.0,262.2,
<=90,46.0,Washington Univ - St Louis_2023,,71.5,41.1,100.0,,,,,,212.5,18818.0,,,,,,,,,,,,4.0,600.0,205.0,
>90,123.0,West Virginia Univ_2023,,33.4,23.6,20.0,,,,,,77.0,24294.0,,,,,,,,,,,,1.0,450.0,,
>90,93.0,Wichita State Univ_2023,,31.9,19.4,60.0,,<25,<40,,,121.3,25549.0,,,,72.976,,,,,,,7.010,4.0,600.0,226.3,
<=90,31.0,York College of Pennsylvania_2023,-20.0,35.2,18.8,80.0,<50,<25,<40,<15,,177.1,23543.0,,,,99.776,834.563,,,-,4.0,8.0,6.562,4.0,600.0,254.9,5.162
>90,129.0,California State Univ - Chico_2025,,-50.0,14.3,,,,,,,20.0,,,,,,,,,,,,,1.0,450.0,,
>90,114.0,Southern Illinois Univ - Edwardville_2025,,-50.0,17.6,,,,,,,20.0,,,,,,,,,,,,,4.0,600.0,,
