Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Acceleration Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg),Best Time
<=60,115.0,Univ of Illinois - Chicago_2025,,81.2,55.6,40.0,>=65,<25,>=40,>=15,22.0,407.1,13248.0,173.8,0.405,4.661,58.241,1734.0,,1738.0,44.8,10.0,25.0,6.311,4.0,600.0,212.3,
<=90,88.0,Univ of Kentucky_2025,,55.0,19.6,60.0,<50,>=25,>=40,<15,,269.3,29390.0,,,5.131,60.443,,,,,,,5.678,4.0,600.0,227.2,
>90,142.0,Univ of Maine_2025,,43.9,,20.0,,,,,,63.9,13145.0,,,,,,,,,,,,4.0,600.0,254.9,
<=60,101.0,Univ of Manitoba_2025,,68.7,50.2,75.0,<50,>=25,<40,>=75,51.9,455.1,18960.0,159.993,0.562,5.232,70.942,1483.93,60.0,1599.93,96.6,10.0,25.0,5.606,1.0,450.0,191.0,
<=30,56.0,Univ of Maryland - College Park_2025,,81.5,67.6,100.0,>=65,>=45,>90,>=75,18.0,597.8,21590.0,163.571,0.384,4.487,53.644,1595.711,,1635.711,82.4,10.0,25.0,5.393,4.0,600.0,213.2,
>90,123.0,Univ of Massachusetts - Lowell_2025,,71.5,28.1,10.0,,,,,,109.6,21933.0,,,,,,,,,,,,4.0,600.0,259.5,
<=30,92.0,Univ of Michigan - Dearborn_2025,,72.4,19.7,80.0,>=50,>=45,>=65,>150,40.2,560.4,16679.0,150.113,0.501,4.854,56.462,1469.13,,1501.13,139.5,10.0,25.0,5.43,2.0,600.0,222.3,
<=30,22.0,Univ of Missouri_2025,,63.2,50.4,80.0,>80,>=55,>90,>150,23.8,629.7,18207.0,149.264,0.414,4.229,53.453,1432.636,,1492.636,143.5,10.0,25.0,5.35,4.0,636.0,206.8,
<=30,43.0,Univ of Nebraska - Lincoln_2025,,64.6,55.0,100.0,>=65,>=55,>90,>150,29.0,680.6,15472.0,144.808,0.442,4.622,51.213,1376.083,,1448.083,165.0,10.0,25.0,5.248,4.0,636.0,205.5,
<=30,2.0,Univ of North Carolina Charlotte_2025,,79.8,75.0,111.0,>=65,>=45,>90,>150,73.4,729.0,,,,,,,,,,,,,,,,
<=60,77.0,Univ of North Florida_2025,,61.0,51.3,75.0,<50,>=25,>=65,>=75,26.4,454.1,20141.0,165.834,0.428,5.338,57.586,1588.339,,1658.339,73.6,10.0,25.0,5.645,4.0,600.0,229.1,
<=90,46.0,Univ of Oklahoma_2025,,57.9,17.7,60.0,>80,,,<15,,241.3,25183.0,,,4.264,,,,,,,,,4.0,636.0,217.3,
<=90,87.0,Univ of Ottawa_2025,,56.4,40.7,60.0,,,,<15,,158.1,17732.0,,,,,,,,,,,,4.0,600.0,226.3,
<=90,120.0,Univ of Saskatchewan_2025,,67.6,44.1,35.0,,>=25,<40,>=15,,243.6,17963.0,,,,63.409,1892.251,,2116.251,-,10.0,25.0,5.696,4.0,600.0,243.1,
<=60,71.0,Univ of South Florida_2025,,52.0,14.2,80.0,>80,>=55,>90,,,385.5,30122.0,,,4.377,53.334,,,,,,,5.287,4.0,600.0,222.7,
<=60,131.0,Univ of Southern California_2025,,57.7,29.7,121.0,>=50,>=55,>90,>=15,24.1,518.8,24307.0,177.092,0.416,4.849,50.599,1390.923,360.0,1770.923,33.6,10.0,25.0,5.345,4.0,600.0,227.7,
<=30,81.0,Univ of Texas - Arlington_2025,,84.4,41.3,105.0,>80,>=55,>90,>150,62.9,731.5,14536.0,148.656,0.62,4.286,51.314,1398.558,60.0,1486.558,146.4,10.0,25.0,5.179,2.0,321.0,190.5,
<=60,104.0,Univ of Texas - Austin_2025,,88.6,52.4,100.0,>=50,>=25,>=65,<15,,406.3,16901.0,,,5.044,56.048,,,,,,,,4.0,600.0,212.3,
<=60,96.0,Univ of Toledo_2025,,44.0,17.7,40.0,>=50,>=25,>=40,>=75,94.1,453.0,15156.0,165.22,0.784,4.97,59.090,1610.196,,1652.196,76.0,10.0,25.0,5.54,2.0,471.0,212.3,
<=30,29.0,Univ of Victoria_2025,,71.2,43.9,100.0,>=50,>=45,>90,>150,26.4,649.6,17904.0,143.304,0.428,4.902,52.385,1407.04,,1433.04,172.6,10.0,25.0,5.373,4.0,599.0,215.0,
<=30,124.0,Univ of Wisconsin - Madison_2025,,79.1,48.3,135.0,>80,>=55,>=65,>150,79.6,749.2,17941.0,149.56,0.708,4.271,54.110,1429.599,,1495.599,142.1,10.0,25.0,5.3,2.0,689.0,211.4,
<=30,61.0,Univ of Wisconsin - Platteville_2025,,52.8,46.5,80.0,>=65,>=45,>=65,>150,56.8,599.6,19249.0,151.626,0.588,4.546,55.738,1474.258,,1516.258,132.6,10.0,25.0,5.407,2.0,689.0,251.3,
<=90,42.0,Universidad Metropolitana_2025,,80.0,16.6,40.0,,,,>=15,,151.7,13363.0,,,,,,,,,,,,4.0,636.0,259.5,
>90,111.0,Universidad Panamericana Sede Guadalajar_2025,,74.7,42.6,10.0,,,,,,127.3,16099.0,,,,,,,,,,,,4.0,600.0,296.6,
<=30,65.0,Universidad Politecnica de Valencia_2025,,83.2,50.4,133.0,>80,>=55,>90,>150,64.4,883.7,21408.0,131.686,0.628,4.306,48.878,1292.864,,1316.864,236.8,10.0,25.0,5.08,4.0,600.0,210.5,
<=30,51.0,Universite de Sherbrooke_2025,,66.7,46.4,100.0,>80,>=25,>=65,>150,56.4,698.3,16777.0,139.734,0.586,4.384,54.897,1393.337,,1397.337,191.2,10.0,25.0,5.539,2.0,500.0,192.8,
<=60,9.0,Villanova Univ_2025,,81.3,59.3,80.0,>=65,>=45,>90,>=75,21.9,544.6,18502.0,170.948,0.404,4.501,52.704,1483.477,120.0,1709.477,54.8,10.0,25.0,5.495,4.0,636.0,218.2,
<=30,74.0,Virginia Tech_2025,,69.7,58.2,100.0,>80,>=55,>90,>150,36.9,674.4,16473.0,147.88,0.483,4.421,53.015,1396.798,,1478.798,150.0,10.0,25.0,5.346,2.0,660.0,208.2,
<=60,73.0,Washington State Univ_2025,,52.5,54.3,55.0,>=50,>=25,>=40,<15,,334.0,23695.0,,,4.797,58.580,,,,,,,5.548,4.0,650.0,247.7,
<=60,76.0,Washington Univ - St Louis_2025,,63.7,15.9,80.0,>=50,>=25,>=65,>=15,,364.9,23185.0,,,4.78,55.725,,,,,,,5.6,4.0,600.0,225.0,
<=60,97.0,Wayne State Univ_2025,,71.3,53.0,80.0,>=65,>=25,<40,>=15,9.9,343.8,18539.0,186.405,0.341,4.744,78.784,,,,,,,5.705,4.0,600.0,205.9,
<=90,66.0,West Virginia Univ_2025,,57.0,40.1,60.0,<50,>=25,<40,,,236.3,23741.0,,,7.295,62.942,,,,,,,,1.0,450.0,206.8,
<=90,132.0,Wichita State Univ_2025,,74.4,11.9,60.0,<50,<25,<40,>=15,,269.0,23405.0,,,5.13,65.117,2158.993,,2206.993,-,10.0,25.0,,4.0,600.0,215.0,
>90,62.0,York College of Pennsylvania_2025,,52.2,11.6,60.0,,,,,,123.8,20757.0,,,,,,,,,,,,4.0,600.0,232.2,
<=30,106.0,lowa State Univ_2025,,85.4,35.4,80.0,>80,>=55,>90,>150,39.3,754.2,,,,,,,,,,,,,,,,
<=30,68.0,AGH Univ of Science and Technology_2024,,49.1,65.6,132.0,>=65,>=55,>=65,>=75,27.7,632.6,,166.65,0.415,,53.666,1482.497,120.0,1666.497,119.2,10.0,25.0,5.398,4.0,600.0,215.9,4.560
<=60,126.0,Arizona State Univ - Tempe_2024,,77.3,27.6,100.0,>=50,>=25,>=40,>=75,29.6,470.2,,185.675,0.424,,57.843,1676.754,120.0,1856.754,50.1,10.0,25.0,5.644,4.0,600.0,231.8,4.808
>90,69.0,Bradley Univ_2024,,55.7,33.2,30.0,,,,,,118.9,,,,,,,,,,,,,2.0,670.0,237.7,
<=60,24.0,Brown Univ_2024,,79.0,56.7,80.0,<50,>=25,<40,>=75,22.6,410.6,,180.426,0.388,,67.964,1694.256,,1804.256,67.7,10.0,25.0,5.808,4.0,600.0,233.1,5.353
<=60,119.0,California Baptist University_2024,,73.3,33.5,40.0,>=65,>=25,>=40,>=75,65.2,471.5,,176.199,0.606,,58.161,1741.989,,1761.989,82.6,10.0,25.0,5.811,1.0,690.0,196.0,4.762
<=30,6.0,California Polytechnic State Univ-SLO_2024,,80.7,37.4,100.0,>=65,>=55,>90,>150,72.8,734.4,,151.098,0.645,,51.212,1388.976,120.0,1510.976,188.6,10.0,25.0,5.330,1.0,450.0,177.4,4.647
<=60,25.0,California State Poly Univ - Pomona_2024,,62.0,56.0,100.0,>=65,,>=65,<15,,370.9,,,,,55.144,748.931,,,-,5.0,12.0,,4.0,600.0,224.5,4.645
>90,52.0,California State Univ - Chico_2024,,59.1,49.1,30.0,,,,,,138.2,,,,,,,,,,,,,1.0,450.0,192.3,
<=90,80.0,California State Univ - Fullerton_2024,,38.9,27.5,80.0,>=65,<25,<40,<15,,267.4,,,,,60.460,201.632,,,-,1.0,2.0,6.462,2.0,690.0,220.9,4.597
<=30,45.0,California State Univ - Northridge_2024,,69.8,49.8,119.0,>80,>=55,>=40,>150,58.5,661,,162.482,0.572,,56.611,1562.82,,1624.82,136.5,10.0,25.0,5.448,4.0,600.0,189.6,4.407
<=60,27.0,Carleton Univ_2024,,75.3,57.9,80.0,<50,>=45,>=65,<15,,386.6,,,,,55.424,1067.137,,,-,6.0,14.0,5.606,1.0,450.0,179.6,5.159
<=90,92.0,Clarkson University_2024,,43.5,31.4,60.0,>=50,<25,<40,<15,,218.8,,,,,63.473,186.006,,,-,1.0,2.0,6.465,4.0,600.0,214.1,5.041
<=60,53.0,Clemson Univ_2024,,75.3,50.4,100.0,,>=25,>=65,,,329.1,,,,,55.520,,,,,,,5.748,4.0,635.0,196.0,
<=60,34.0,Colorado Mesa University_2024,,50.0,27.6,50.0,,,,>=75,66.1,331.9,,168.123,0.61,,,1637.232,,1681.232,113.3,10.0,25.0,,2.0,650.0,210.5,
<=60,32.0,Colorado School of Mines_2024,,39.4,45.8,80.0,<50,>=25,<40,>=15,45.1,352.6,,189.057,0.503,,61.475,1722.569,,1890.569,39.2,10.0,25.0,5.726,4.0,600.0,212.7,6.718
<=90,36.0,Colorado State University_2024,,62.9,28.7,45.0,,<25,<40,<15,,150.9,,,,,73.800,486.795,,,-,2.0,4.0,6.466,4.0,600.0,227.7,
>90,74.0,Drexel Univ_2024,-10.0,66.6,29.9,40.0,,,,,,126.6,,,,,,,,,,,,,1.0,450.0,170.6,
<=60,63.0,Duke Univ_2024,,76.1,68.0,80.0,>=50,>=45,>=65,,,398.4,,,,,54.197,0.0,,,-,0.0,0.0,5.613,2.0,690.0,215.0,4.987
<=60,106.0,Embry-Riddle Aero Univ - Daytona Beach_2024,,59.7,68.5,40.0,>80,>=45,>=65,>=15,23.6,452.9,,194.314,0.394,,54.462,1641.135,120.0,1943.135,23.1,10.0,25.0,5.613,4.0,600.0,214.5,4.275
<=90,17.0,Florida Atlantic Univ_2024,,39.2,45.1,55.0,>=50,<25,>=40,>=15,,268.8,,204.326,,,59.106,1720.931,,,-,9.0,20.0,7.687,4.0,610.0,206.8,4.893
<=90,111.0,Florida International Univ_2024,,68.8,41.0,75.0,,,,,,184.8,,,,,,,,,,,,,2.0,650.0,263.5,
<=90,7.0,Georgia Institute of Technology_2024,,78.6,75.0,100.0,,>=55,,,,315.5,,,,,,,,,,,,5.360,4.0,600.0,210.9,
<=30,65.0,Hope College_2024,,57.3,43.6,75.0,>=65,>=25,>90,>150,53.0,666.1,,147.881,0.544,,51.397,1474.81,,1478.81,204.8,10.0,25.0,5.645,4.0,600.0,221.4,4.663
<=30,145.0,Instituto Maua de Tecnologia_2024,,83.7,35.1,150.0,>80,>=45,>=65,>150,56.2,710.3,,160.049,0.56,,54.159,1580.488,,1600.488,147,10.0,25.0,5.543,3.0,675.0,200.5,4.364
>90,54.0,Instituto Tecnologico de Chihuahua_2024,,,15.5,10.0,,,,,,25.5,,,,,,,,,,,,,4.0,600.0,235.4,
<=30,23.0,Kansas State Univ_2024,,64.5,60.0,100.0,>80,>=55,>=65,>150,39.2,666.9,,157.577,0.473,,54.835,1499.765,,1575.765,158,10.0,25.0,5.373,3.0,675.0,208.2,4.370
<=30,18.0,Kennesaw State University_2024,,87.0,72.8,80.0,>80,>=55,>=40,>150,27.9,620.7,,162.112,0.416,,58.406,1545.116,,1621.116,138.1,10.0,25.0,5.444,4.0,600.0,200.9,4.456
<=90,100.0,Kettering Univ_2024,,53.2,28.1,80.0,,,,<15,,165.3,,,,,,339.945,,,-,2.0,4.0,,1.0,450.0,177.8,
<=60,108.0,Lawrence Technological Univ_2024,,48.1,29.8,40.0,>=65,>=25,>=40,>=15,4.8,340.1,,188.684,0.297,,58.622,1770.844,,1886.844,40.4,10.0,25.0,5.833,4.0,600.0,247.2,4.694
<=90,114.0,Lehigh Univ_2024,,77.1,36.1,60.0,<50,<25,<40,>=15,,251.6,,212.042,,,69.257,1902.416,,2120.416,-,10.0,25.0,6.343,1.0,450.0,175.1,5.367
<=90,31.0,Liberty Univ_2024,,78.6,51.5,80.0,,,,,,210.1,,,,,,,,,,,,,4.0,600.0,213.6,
<=60,110.0,Michigan Tech Univ_2024,,70.2,49.5,80.0,<50,>=25,>=40,,,329.8,,,,,57.307,,,,,,,5.711,2.0,500.0,236.8,5.453
<=30,101.0,Minnesota State University - Mankato_2024,,65.5,50.3,100.0,>80,>=25,>=40,>=75,37.7,572,,169.86,0.465,,56.246,1654.603,,1698.603,106.4,10.0,25.0,5.742,4.0,600.0,210.0,4.399
<=30,91.0,Mississippi State Univ_2024,,70.2,48.9,80.0,>=65,>=45,>=65,>=75,100.0,621,,170.894,0.784,,55.065,1674.943,,1708.943,102.4,10.0,25.0,5.498,1.0,450.0,189.6,4.637
<=60,102.0,Missouri University of Science and Tech_2024,,57.9,30.7,80.0,>=65,>=55,>=40,<15,,349.4,,,,,59.512,485.558,,,-,3.0,6.0,5.450,4.0,635.0,216.8,4.612
<=30,38.0,North Carolina State Univ - Raleigh_2024,,72.2,37.4,147.0,>80,>=45,>90,<15,,504.2,,,,,51.472,737.814,,,-,5.0,12.0,5.523,4.0,675.0,192.3,4.308
>90,125.0,Northern Arizona Univ_2024,,30.6,50.8,15.0,,,,>=15,,121.4,,226.447,,,,2092.469,,2264.469,-,10.0,25.0,,4.0,600.0,244.9,
>90,130.0,Northern Illinois Univ_2024,,,40.0,10.0,,,,,,50,,,,,,,,,,,,,4.0,600.0,226.8,
<=30,57.0,Oakland University_2024,,84.5,42.9,100.0,>=65,>=55,>=40,>150,47.3,648.9,,159.051,0.514,,56.728,1568.508,,1590.508,151.4,10.0,25.0,5.258,4.0,600.0,231.3,4.705
<=60,21.0,Oklahoma State Univ_2024,,51.1,44.2,60.0,>=65,>=55,>=40,>=15,37.4,421.6,,197.935,0.464,,56.377,1919.354,,1979.354,12.5,10.0,25.0,5.451,4.0,635.0,238.6,4.613
<=90,120.0,Oregon Inst of Tech_2024,,56.3,38.0,60.0,<50,>=25,<40,<15,,197.6,,,,,81.880,873.347,,,-,3.0,6.0,5.962,4.0,600.0,220.4,6.604
>90,117.0,Pellissippi State Community College_2024,,64.4,51.3,20.0,,,,,,135.6,,,,,,,,,,,,,1.0,690.0,204.6,
>90,103.0,Penn State Univ - Harrisburg_2024,,41.8,38.0,20.0,,,,,,99.8,,,,,,,,,,,,,4.0,600.0,230.4,
<=90,19.0,Purdue Univ - Northwest_2024,,68.9,42.5,60.0,,,,,,171.4,,,,,,,,,,,,,4.0,600.0,200.5,
<=30,8.0,Purdue Univ - W Lafayette_2024,,72.2,65.9,100.0,>=65,>=55,>=65,>150,32.5,684.1,,156.948,0.439,,53.655,1569.48,,1569.48,160.9,10.0,25.0,5.180,4.0,635.0,218.2,4.597
<=90,33.0,Rose Hulman Inst of Tech_2024,,75.3,33.2,60.0,,,<40,,,202.6,,,,,61.555,0.0,,,-,0.0,0.0,,1.0,480.0,174.6,
<=60,22.0,Sacramento State Univ_2024,,66.5,29.3,60.0,>=50,>=25,>=40,>=75,12.2,426.5,,176.123,0.335,,59.672,1659.227,,1761.227,82.9,10.0,25.0,5.645,4.0,635.0,210.9,4.816
<=90,116.0,Saginaw Valley State Univ_2024,,47.9,25.8,50.0,,>=25,<40,<15,,177,,,,,100.211,444.301,,,-,2.0,4.0,5.658,4.0,600.0,201.4,
<=90,122.0,South Dakota School of Mines & Tech_2024,,40.6,52.4,65.0,,,>=65,,,227.5,,,,,54.879,,,,,,,,4.0,600.0,221.4,
<=90,93.0,South Dakota State Univ_2024,,39.1,20.0,75.0,<50,<25,<40,<15,,206.8,,,,,68.467,935.217,,,-,5.0,12.0,6.105,4.0,600.0,201.8,5.445
<=90,89.0,Southern Illinois Univ - Carbondale_2024,,33.7,28.9,60.0,>=50,>=45,<40,<15,,236.8,,,,,83.871,567.652,,,-,3.0,6.0,5.553,4.0,600.0,235.0,5.044
>90,128.0,St Cloud State Univ_2024,,9.3,10.0,40.0,,,,,,59.3,,,,,,,,,,,,,4.0,600.0,237.2,
>90,58.0,Syracuse Univ_2024,-10.0,18.0,41.9,40.0,,<25,<40,>=15,,141.2,,206.621,,,121.043,2024.21,,2066.21,-,10.0,25.0,6.095,4.0,600.0,270.3,
<=30,109.0,Temple Univ_2024,,65.5,45.2,120.0,>=65,>=45,>=65,>150,52.0,636.2,,161.573,0.538,,54.586,1601.732,,1615.732,140.4,10.0,25.0,5.579,4.0,600.0,187.8,4.714
<=90,15.0,Tennessee Tech Univ_2024,,67.0,32.3,40.0,<50,<25,<40,,,197,,,,,74.464,,,,,,,6.988,2.0,625.0,170.6,5.145
<=30,35.0,Texas A & M Univ - College Station_2024,,84.9,42.4,100.0,>80,>=55,>=40,>150,44.3,746.4,,145.697,0.499,,55.968,1456.973,,1456.973,216.2,10.0,25.0,5.243,4.0,600.0,200.5,4.206
<=90,90.0,Texas Tech Univ_2024,,88.9,31.5,80.0,,<25,<40,,,210.3,,,,,84.948,,,,,,,6.798,1.0,450.0,187.8,
<=30,3.0,The Ohio State University_2024,,80.1,73.6,144.0,>80,>=55,>90,>150,51.3,907.6,,139.589,0.535,,46.911,1389.891,,1395.891,250,10.0,25.0,5.346,4.0,600.0,201.4,4.271
>90,88.0,UP Aguascalientes_2024,,-3.1,40.9,,,,,,,37.8,,,,,,,,,,,,,4.0,600.0,,
<=90,113.0,US Air Force Academy_2024,,45.1,26.9,15.0,<50,<25,<40,>=15,84.4,245.4,,198.295,0.704,,67.265,1850.95,,1982.95,11.5,10.0,25.0,6.018,1.0,450.0,201.4,6.808
<=60,86.0,Univ of Akron_2024,,76.9,27.0,100.0,>=65,>=55,>=65,,,428.3,,,,,51.715,0.0,,,-,0.0,0.0,5.345,1.0,450.0,181.4,4.663
<=30,76.0,Univ of Alabama - Tuscaloosa_2024,,73.2,41.6,100.0,>80,>=55,>=65,>150,38.0,658.2,,161.557,0.467,,52.020,1459.573,120.0,1615.573,140.5,10.0,25.0,5.428,4.0,600.0,219.5,4.277
<=90,84.0,Univ of British Columbia_2024,,68.6,44.6,125.0,,,,,,238.2,,,,,,0.0,,,-,0.0,0.0,,4.0,600.0,202.8,
<=30,30.0,Univ of Calif - Berkeley_2024,,68.3,40.1,120.0,>=50,>=55,>90,>150,96.1,813.8,,141.824,0.764,,48.418,1396.241,,1418.241,237.3,10.0,25.0,5.403,1.0,450.0,168.3,4.992
<=90,48.0,Univ of Central Florida_2024,,67.8,45.4,80.0,,,,,,193.2,,,,,,,,,,,,,4.0,635.0,194.6,
<=30,14.0,Univ of Cincinnati_2024,,64.0,42.4,80.0,>=65,>=55,>90,>=75,37.5,592.2,,165.928,0.464,,50.844,1485.276,120.0,1659.276,122.1,10.0,25.0,5.384,2.0,690.0,204.6,4.782
<=90,94.0,Univ of Colorado - Boulder_2024,,63.9,28.1,75.0,>=65,<25,>=40,<15,,309.1,,,,,58.409,899.433,,,-,5.0,12.0,6.385,2.0,690.0,213.6,4.641
<=30,127.0,Univ of Connecticut_2024,,76.3,67.1,100.0,>80,>=55,>90,>150,27.7,747.4,,148.491,0.414,,51.030,1364.914,120.0,1484.914,201.7,10.0,25.0,5.328,4.0,600.0,223.6,4.337
>90,72.0,Univ of Delaware_2024,,3.8,40.3,10.0,,,,>=15,,79.1,,237.065,,,,1978.65,150.0,2370.65,-,10.0,25.0,,4.0,635.0,233.1,
<=90,87.0,Univ of Georgia_2024,,56.5,35.5,60.0,>=50,>=55,>=40,<15,,310.3,,,,,58.747,190.242,,,-,1.0,2.0,5.459,4.0,600.0,230.9,5.032
<=90,71.0,Univ of Hartford_2024,,80.8,43.1,80.0,,<25,<40,<15,,264.7,,,,,62.758,957.0,,,-,5.0,12.0,6.086,1.0,450.0,188.2,
<=60,60.0,Univ of Illinois - Chicago_2024,,88.1,41.9,60.0,>=65,>=55,>=40,>=75,19.0,472.5,,183.678,0.37,,58.206,1792.782,,1836.782,56.6,10.0,25.0,5.438,4.0,600.0,215.5,4.619
<=60,47.0,Univ of Kentucky_2024,,68.2,51.8,75.0,>=65,>=25,>=40,>=15,,371.1,,203.452,,,59.904,1960.521,,2034.521,-,10.0,25.0,5.896,4.0,600.0,213.6,4.535
<=90,118.0,Univ of Manitoba_2024,,78.4,38.0,60.0,,,,,,176.4,,,,,,,,,,,,,1.0,450.0,218.6,
<=60,49.0,Univ of Maryland - College Park_2024,,71.7,45.1,95.0,>80,>=55,>=40,,,421.6,,,,,57.559,,,,,,,5.219,4.0,600.0,223.6,4.465
<=60,66.0,Univ of Michigan - Dearborn_2024,,83.7,62.0,80.0,<50,>=25,>=40,,,356.8,,,,,58.004,,,,,,,5.687,1.0,450.0,192.8,5.369
<=30,67.0,Univ of Minnesota - Twin Cities_2024,,71.6,56.2,95.0,>80,>=55,>=65,>=75,23.0,599.7,,174.206,0.391,,51.955,1504.06,120.0,1742.06,89.9,10.0,25.0,5.241,4.0,600.0,214.5,4.511
>90,136.0,Univ of Minnesota-Duluth_2024,,55.3,47.5,20.0,,,,,,122.9,,,,,,,,,,,,,1.0,450.0,235.9,
<=30,55.0,Univ of Missouri_2024,,76.9,48.3,60.0,>=50,>=55,>=40,>150,20.1,591.2,,155.133,0.376,,56.563,1515.326,,1551.326,169.3,10.0,25.0,5.180,4.0,600.0,232.7,4.954
<=30,98.0,Univ of Nebraska - Lincoln_2024,,76.9,40.5,100.0,>80,>=55,>90,>=75,20.5,559.5,,183.506,0.378,,51.310,1663.055,120.0,1835.055,57.2,10.0,25.0,5.392,4.0,635.0,208.7,4.400
<=30,9.0,Univ of North Carolina - Charlotte_2024,,76.6,69.1,100.0,>=50,>=55,>90,>150,81.8,817.2,,142.896,0.691,,50.329,1408.963,,1428.963,231.4,10.0,25.0,5.243,1.0,450.0,169.2,4.811
<=60,99.0,Univ of North Florida_2024,,80.1,44.6,70.0,>=50,>=45,>=65,>=15,18.3,425.3,,171.66,0.366,,54.063,1444.939,,,-,9.0,20.0,5.473,4.0,600.0,228.6,4.819
<=60,42.0,Univ of Oklahoma_2024,,52.3,48.1,70.0,>80,>=25,>=40,<15,,350.8,,175.488,,,60.061,952.93,,,-,6.0,14.0,5.863,4.0,635.0,231.8,4.303
<=90,131.0,Univ of Ottawa_2024,,51.8,35.6,60.0,,,<40,>=15,,205.6,,210.329,,,61.763,1727.287,,2103.287,-,10.0,25.0,,4.0,600.0,205.0,
<=60,73.0,Univ of Puerto Rico-Mayaquez_2024,,50.0,20.4,80.0,>=65,>=25,>=65,>=15,,359.7,,217.049,,,54.671,1872.486,120.0,2170.486,-,10.0,25.0,5.677,4.0,600.0,199.6,4.665
<=60,121.0,Univ of Saskatchewan_2024,,66.6,37.4,50.0,>=65,>=25,>=40,<15,,339.4,,,,,56.296,677.894,,,-,4.0,8.0,5.625,4.0,600.0,240.4,4.676
<=30,83.0,Univ of South Florida_2024,,86.8,48.1,60.0,>80,>=45,>=65,>=75,37.1,596.2,,169.939,0.463,,52.303,1535.388,120.0,1699.388,106.1,10.0,25.0,5.509,4.0,600.0,219.5,4.275
<=60,105.0,Univ of Southern California_2024,,61.1,55.5,100.0,>=50,>=45,>=40,>=15,41.1,443.4,,192.632,0.483,,58.186,1342.426,,,-,7.0,16.0,5.477,4.0,600.0,220.4,4.798
<=60,29.0,Univ of Texas - Austin_2024,,47.3,39.7,100.0,<50,>=25,>=40,<15,60.5,400.4,,175.147,0.582,,55.947,837.734,,,-,5.0,12.0,5.886,4.0,600.0,217.3,5.154
