Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Price Score (30),Cost Accuracy (15),Engineering Drawings (15),Scenario Score (40),Average Adjusted Laptime,Laps Completed,Fuel Used(ltr),Adjusted CO2(kg),Average Adjusted CO2 per Lap,Fuel Type,Fuel Efficiency Factor,Best Acceleration Time,Best Autocross Time,Endurance Time,Endurance Laps,Off Course,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg)
<=50,115.0,Univ of Illinois - Chicago,,81.2,55.6,40.0,>=60,<15,>=60,>=50,22.0,407.1,13248.0,25.7,14.0,10.0,31.5,173.8,10.0,4.413,10.194,1.0194,93,0.405,4.661,58.241,1734.0,10.0,,,1738.0,44.8,25.0,6.311,4.0,600.0,212.3
<=75,88.0,Univ of Kentucky,,55.0,19.6,60.0,<50,>=30,>=50,<25,,269.3,29390.0,,,,,,,,,,,,5.131,60.443,,,,,,,,5.678,4.0,600.0,227.2
>100,142.0,Univ of Maine,,43.9,,20.0,,,,,,63.9,13145.0,25.8,9.0,7.0,2.0,,,,,,,,,,,,,,,,,,4.0,600.0,254.9
<=50,101.0,Univ of Manitoba,,68.7,50.2,75.0,<50,>=30,<50,>=100,51.9,455.1,18960.0,17.7,11.0,10.0,30.0,159.993,10.0,3.452,7.974,0.7974,93,0.562,5.232,70.942,1483.93,10.0,2.0,60.0,1599.93,96.6,25.0,5.606,1.0,450.0,191.0
<=25,56.0,Univ of Maryland - College Park,,81.5,67.6,100.0,>=70,>=50,>=90,>=100,18.0,597.8,21590.0,14.0,13.0,15.0,39.5,163.571,10.0,4.944,11.42,1.142,93,0.384,4.487,53.644,1595.711,10.0,2.0,,1635.711,82.4,25.0,5.393,4.0,600.0,213.2
<=100,123.0,Univ of Massachusetts - Lowell,,71.5,28.1,10.0,,,,,,109.6,21933.0,13.5,14.0,6.0,38.0,,,,,,,,,,,,,,,,,,4.0,600.0,259.5
<=50,92.0,Univ of Michigan - Dearborn,,72.4,19.7,80.0,>=50,>=50,>=70,>=150,40.2,560.4,16679.0,20.9,13.0,13.0,25.5,150.113,10.0,5.782,9.54,0.954,E85,0.501,4.854,56.462,1469.13,10.0,1.0,,1501.13,139.5,25.0,5.43,2.0,600.0,222.3
<=25,22.0,Univ of Missouri,,63.2,50.4,80.0,>90,>=50,>=90,>=150,23.8,629.7,18207.0,18.7,11.0,10.0,23.5,149.264,10.0,5.018,11.591,1.1591,93,0.414,4.229,53.453,1432.636,10.0,3.0,,1492.636,143.5,25.0,5.35,4.0,636.0,206.8
<=25,43.0,Univ of Nebraska - Lincoln,,64.6,55.0,100.0,>=70,>=60,>100,>=175,29.0,680.6,15472.0,22.6,7.0,11.0,24.0,144.808,10.0,6.792,11.206,1.1206,E85,0.442,4.622,51.213,1376.083,10.0,3.0,,1448.083,165.0,25.0,5.248,4.0,636.0,205.5
<=10,2.0,Univ of North Carolina Charlotte,,79.8,75.0,111.0,>=70,>=50,>=90,>=150,73.4,729.0,,,,,,,,,,,,,,,,,,,,,,,,,
<=50,77.0,Univ of North Florida,,61.0,51.3,75.0,<50,>=30,>=60,>=50,26.4,454.1,20141.0,16.0,15.0,13.0,17.0,165.834,10.0,4.374,10.103,1.0103,93,0.428,5.338,57.586,1588.339,10.0,3.0,,1658.339,73.6,25.0,5.645,4.0,600.0,229.1
<=75,46.0,Univ of Oklahoma,,57.9,17.7,60.0,>90,,,>=10,,241.3,25183.0,,,,,,,,,,,,4.264,,,,,,,,,,4.0,636.0,217.3
<=100,87.0,Univ of Ottawa,,56.4,40.7,60.0,,,,<25,,158.1,17732.0,19.4,11.0,12.0,14.0,,,,,,,,,,,,,,,,,,4.0,600.0,226.3
<=75,120.0,Univ of Saskatchewan,,67.6,44.1,35.0,,>=30,<50,>=25,,243.6,17963.0,19.1,14.0,10.0,24.5,,,,,,,,,63.409,1892.251,10.0,10.0,,2116.251,-,25.0,5.696,4.0,600.0,243.1
<=75,71.0,Univ of South Florida,,52.0,14.2,80.0,>=80,>=50,>=90,,,385.5,30122.0,,,,,,,,,,,,4.377,53.334,,,,,,,,5.287,4.0,600.0,222.7
<=50,131.0,Univ of Southern California,,57.7,29.7,121.0,>=50,>=50,>100,>=50,24.1,518.8,24307.0,10.2,11.0,12.0,24.5,177.092,10.0,4.213,9.732,0.9732,100,0.416,4.849,50.599,1390.923,10.0,1.0,360.0,1770.923,33.6,25.0,5.345,4.0,600.0,227.7
<=10,81.0,Univ of Texas - Arlington,,84.4,41.3,105.0,>90,>=60,>100,>=150,62.9,731.5,14536.0,23.9,13.0,13.0,34.5,148.656,10.0,4.713,7.776,0.7776,E85,0.62,4.286,51.314,1398.558,10.0,1.0,60.0,1486.558,146.4,25.0,5.179,2.0,321.0,190.5
<=50,104.0,Univ of Texas - Austin,,88.6,52.4,100.0,>=50,>=30,>=70,<25,,406.3,16901.0,20.6,14.0,14.0,40.0,,,,,,,,5.044,56.048,,,,,,,,,4.0,600.0,212.3
<=50,96.0,Univ of Toledo,,44.0,17.7,40.0,>=50,>=40,>=50,>=100,94.1,453.0,15156.0,23.0,10.0,21.0,-10.0,165.22,10.0,2.396,5.534,0.5534,93,0.784,4.97,59.090,1610.196,10.0,2.0,,1652.196,76.0,25.0,5.54,2.0,471.0,212.3
<=25,29.0,Univ of Victoria,,71.2,43.9,100.0,>=50,>=50,>=90,>=175,26.4,649.6,17904.0,19.2,13.0,11.0,28.0,143.304,10.0,5.062,11.693,1.1693,93,0.428,4.902,52.385,1407.04,10.0,1.0,,1433.04,172.6,25.0,5.373,4.0,599.0,215.0
<=10,124.0,Univ of Wisconsin - Madison,,79.1,48.3,135.0,>90,>=50,>=80,>=150,79.6,749.2,17941.0,19.1,14.0,15.0,31.0,149.56,10.0,4.103,6.769,0.6769,E85,0.708,4.271,54.110,1429.599,10.0,3.0,,1495.599,142.1,25.0,5.3,2.0,689.0,211.4
<=25,61.0,Univ of Wisconsin - Platteville,,52.8,46.5,80.0,>=70,>=50,>=70,>=150,56.8,599.6,19249.0,,,,,151.626,10.0,3.482,8.043,0.8043,100,0.588,4.546,55.738,1474.258,10.0,2.0,,1516.258,132.6,25.0,5.407,2.0,689.0,251.3
<=100,42.0,Universidad Metropolitana,,80.0,16.6,40.0,,,,>=10,,151.7,13363.0,25.5,12.0,10.0,32.5,,,,,,,,,,,,,,,,,,4.0,636.0,259.5
<=100,111.0,Universidad Panamericana Sede Guadalajar,,74.7,42.6,10.0,,,,,,127.3,16099.0,21.7,10.0,12.0,31.0,,,,,,,,,,,,,,,,,,4.0,600.0,296.6
1,65.0,Universidad Politecnica de Valencia,,83.2,50.4,133.0,>90,>=60,>100,>250,64.4,883.7,21408.0,14.2,15.0,15.0,39.0,131.686,10.0,5.256,8.672,0.8672,E85,0.628,4.306,48.878,1292.864,10.0,1.0,,1316.864,236.8,25.0,5.08,4.0,600.0,210.5
<=25,51.0,Universite de Sherbrooke,,66.7,46.4,100.0,>=80,>=40,>=80,>=200,56.4,698.3,16777.0,20.7,12.0,15.0,19.0,139.734,10.0,3.79,8.754,0.8754,93,0.586,4.384,54.897,1393.337,10.0,,,1397.337,191.2,25.0,5.539,2.0,500.0,192.8
<=50,9.0,Villanova Univ,,81.3,59.3,80.0,>=70,>=40,>=90,>=50,21.9,544.6,18502.0,18.3,11.0,14.0,38.0,170.948,10.0,4.494,10.381,1.0381,100,0.404,4.501,52.704,1483.477,10.0,5.0,120.0,1709.477,54.8,25.0,5.495,4.0,636.0,218.2
<=25,74.0,Virginia Tech,,69.7,58.2,100.0,>=80,>=50,>=90,>=175,36.9,674.4,16473.0,21.2,13.0,19.0,16.5,147.88,10.0,4.342,10.03,1.003,100,0.483,4.421,53.015,1396.798,10.0,4.0,,1478.798,150.0,25.0,5.346,2.0,660.0,208.2
<=75,73.0,Washington State Univ,,52.5,54.3,55.0,>=60,>=40,>=60,<25,,334.0,23695.0,,,,,,,,,,,,4.797,58.580,,,,,,,,5.548,4.0,650.0,247.7
<=75,76.0,Washington Univ - St Louis,,63.7,15.9,80.0,>=60,>=30,>=70,>=10,,364.9,23185.0,11.7,9.0,15.0,28.0,,,,,,,,4.78,55.725,,,,,,,,5.6,4.0,600.0,225.0
<=75,97.0,Wayne State Univ,,71.3,53.0,80.0,>=60,>=30,<50,>=10,9.9,343.8,18539.0,18.3,10.0,14.0,29.0,186.405,9.0,4.836,11.171,1.1284,100,0.341,4.744,78.784,,,,,,,,5.705,4.0,600.0,205.9
<=75,66.0,West Virginia Univ,,57.0,40.1,60.0,<50,>=30,<50,,,236.3,23741.0,,,,,,,,,,,,7.295,62.942,,,,,,,,,1.0,450.0,206.8
<=75,132.0,Wichita State Univ,,74.4,11.9,60.0,<50,>=15,<50,>=25,,269.0,23405.0,11.4,11.0,12.0,40.0,,,,,,,,5.13,65.117,2158.993,10.0,2.0,,2206.993,-,25.0,,4.0,600.0,215.0
<=100,62.0,York College of Pennsylvania,,52.2,11.6,60.0,,,,,,123.8,20757.0,,,,,,,,,,,,,,,,,,,,,,4.0,600.0,232.2
<=5,106.0,lowa State Univ,,85.4,35.4,80.0,>=80,>=60,>100,>250,39.3,754.2,,,,,,,,,,,,,,,,,,,,,,,,,
>100,129.0,California State Univ - Chico,,-50.0,14.3,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,1.0,450.0,
>100,114.0,Southern Illinois Univ - Edwardville,,-50.0,17.6,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,4.0,600.0,
