Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg)
<=50,20.0,Univ of Victoria_2024,,87.1,54.9,100.0,>=60,>=40,>=70,>=10,,438.9,17607.0,194.414,,4.724,54.761,1216.898,120.0,,-,7.0,16.0,5.674,4.0,600.0,211.8
<=25,135.0,Univ of Wisconsin - Madison_2024,,76.2,56.8,145.0,>=70,>=50,>=70,>=10,73.1,569,21207.0,198.65,0.646,4.562,54.446,1176.547,120.0,,-,7.0,16.0,5.508,2.0,690.0,215.0
<=50,26.0,Univ of Wisconsin - Platteville_2024,,50.1,30.7,60.0,>=50,>=30,>=60,>=125,52.2,477.1,16173.0,168.472,0.54,5.047,55.923,1662.723,,1684.723,111.9,10.0,25.0,5.862,2.0,690.0,245.4
<=100,78.0,Univ of the Pacific_2024,,74.2,27.3,,,,<50,>=10,,119.9,11024.0,,,,89.459,955.282,,,-,5.0,12.0,,4.0,560.0,
<=100,133.0,Universidad Autonoma Estado Mexico_2024,,58.6,29.3,20.0,,,,,,107.9,16145.0,,,,,,,,,,,,4.0,600.0,246.3
>100,138.0,Universidad Autonoma de Baja California_2024,-10.0,29.1,,10.0,,,,,,29.1,15057.0,,,,,,,,,,,,4.0,600.0,294.8
<=100,43.0,Universidad Panamericana Sede Guadalajar_2024,,54.7,32.8,20.0,,,,,,107.5,14641.0,,,,,,,,,,,,4.0,600.0,269.4
<=50,40.0,Universite de Sherbrooke_2024,,78.8,26.8,80.0,>=70,>=40,<50,>=125,40.0,528.3,16410.0,169.31,0.477,4.575,59.566,1647.104,,1693.104,108.6,10.0,25.0,5.568,2.0,500.0,200.5
<=50,77.0,Vanderbilt Univ_2024,,66.7,60.0,60.0,<50,>=30,<50,>=125,94.4,523.7,13901.0,170.877,0.755,5.272,60.939,1700.772,,1708.772,102.5,10.0,25.0,5.780,1.0,500.0,162.8
<=10,16.0,Villanova Univ_2024,,83.0,52.9,100.0,>=80,>=50,>=60,>=200,28.9,673.3,12240.0,151.741,0.421,4.493,56.103,1509.413,,1517.413,185.5,10.0,25.0,5.480,4.0,600.0,206.8
<=50,107.0,Virginia Tech_2024,,72.9,41.8,105.0,>=60,>=40,>=60,>=10,61.5,476.8,26892.0,199.501,0.587,4.749,55.123,1073.004,120.0,,-,6.0,14.0,5.601,1.0,450.0,176.4
<=100,62.0,Washington State Univ_2024,,46.5,22.0,55.0,>=50,<15,,,,177.7,18427.0,,,5.081,,,,,,,,6.933,4.0,650.0,258.1
<=50,104.0,Washington Univ - St Louis_2024,,84.1,41.6,90.0,>=70,>=60,<50,>=25,,420.8,20226.0,215.332,,4.664,59.106,1913.321,,2153.321,-,10.0,25.0,5.358,4.0,600.0,213.2
<=100,61.0,Wayne State Univ_2024,,70.5,26.2,60.0,,,,,,156.7,17685.0,,,,,,,,,,,,4.0,600.0,209.6
<=100,64.0,West Virginia Univ_2024,,64.5,34.3,60.0,,,,,,158.8,20603.0,,,,,,,,,,,,1.0,450.0,198.2
<=75,46.0,York College of Pennsylvania_2024,,42.6,32.5,80.0,>=60,>=30,<50,>=25,,308.1,24193.0,220.334,,4.726,63.661,1995.336,,2203.336,-,10.0,25.0,5.798,4.0,600.0,253.1
