Place,Car Num,Team,Best Time,Penalty,Score
1,117,Missouri University of Science and Tech,4.908,,75
2,18,Univ of Missouri,4.970,,70.08
3,99,Univ of Akron,5.013,,66.77
4,131,Wroclaw University of Technology,5.095,,60.69
5,88,The Ohio State University,5.120,,58.89
6,19,Univ of Illinois - Urbana Champaign,5.136,,57.76
7,44,Univ of Waterloo,5.145,,57.12
8,80,Univ of Calif - San Diego,5.165,,55.73
9,140,Texas A&M Univ - College Station,5.171,,55.31
10    T,33,Purdue Univ - W Lafayette,5.203,,53.12
10    T,97,Univ of South Florida,5.203,,53.12
12,124,Univ of Connecticut,5.208,,52.78
13,36,North Carolina State Univ - Raleigh,5.256,,49.57
14,61,Kennesaw State University,5.270,,48.65
15,103,Univ of Calif - Berkeley,5.286,,47.61
16,73,Carleton Univ,5.288,,47.48
17,96,Univ of British Columbia - Okanagan,5.298,,46.84
18,162,CEFET-MG,5.331,,44.73
19,106,Old Dominion Univ,5.343,,43.98
20,35,California Baptist University,5.347,,43.73
21,110,Univ of Illinois - Chicago,5.356,,43.16
22,32,Univ of Calif - Los Angeles,5.370,,42.3
23,81,California State Poly Univ - Pomona,5.373,,42.11
24,101,Arizona State Univ - Tempe,5.375,,41.99
25,105,Rose Hulman Inst of Tech,5.377,,41.86
26,86,Villanova Univ,5.396,,40.7
27,144,Kansas State Univ,5.404,,40.22
28,94,Temple Univ,5.415,,39.55
29,126,Univ of Puerto Rico-Mayaquez,5.416,,39.49
30,83,Western Michigan Univ,5.447,,37.64
31,23,Embry-Riddle Aero Univ - Daytona Beach,5.450,,37.46
32,51,Minnesota State University - Mankato,5.457,,37.05
33,43,Univ of Calgary,5.460,,36.87
34,71,Oklahoma State Univ,5.468,,36.4
35    T,16,Grand Valley State Univ,5.473,,36.11
35    T,82,Georgia Institute of Technology,5.473,,36.11
37,48,Colorado Mesa University,5.478,,35.82
38,114,Saginaw Valley State Univ,5.491,,35.06
39,13,Univ of Kansas - Lawrence,5.500,,34.55
40,89,Mississippi State Univ,5.508,,34.09
41,115,Univ of Texas - Arlington,5.510,,33.97
42,56,Clemson Univ,5.520,,33.4
43,137,Iowa State Univ,5.530,,32.83
44,119,Univ of New Hampshire,5.548,,31.82
45,34,California State Univ - Northridge,5.555,,31.43
46,72,Univ of Cincinnati,5.563,,30.98
47,29,California State Univ - Chico,5.579,,30.1
48,113,Univ of Oklahoma,5.580,,30.04
49,14,California Polytechnic State Univ-SLO,5.583,,29.88
50,37,Michigan Tech Univ,5.585,,29.77
51,58,Drexel Univ,5.592,,29.38
52,134,Univ of Minnesota - Twin Cities,5.608,,28.51
53,20,Clarkson University,5.612,,28.3
54,78,Univ of Texas - Dallas,5.622,,27.76
55,63,Universidad Metropolitana,5.636,,27.01
56,49,Univ of North Florida,5.645,,26.53
57,74,Univ of Southern California,5.657,,25.89
58,55,Univ of North Carolina - Charlotte,5.663,,25.57
59,142,Duke Univ,5.667,,25.36
60,17,Univ of Victoria,5.673,,25.05
61,22,South Dakota School of Mines & Tech,5.676,,24.89
62,141,Univ of Kentucky,5.737,,21.75
63,45,Lawrence Technological Univ,5.783,,19.45
64,21,Univ of Colorado - Boulder,5.793,,18.95
65,53,Michigan State University,5.910,,13.36
66,42,Univ of Maryland - College Park,5.960,,11.07
67    T,57,Univ of Pittsburgh - Pittsburgh,5.963,,10.94
67    T,121,Univ of Wisconsin - Madison,5.963,,10.94
69,27,California State Univ - Fullerton,5.986,,9.91
70,111,Oakland University,5.993,,9.6
71,30,Missouri State University,6.106,,4.71
