Place,,Car Num,,,Team,,,,,,,Time R,,,,Time L,,,,,Cones,,AdjTime,,,,Time R,,,,,Time L,,,,,Cones,,AdjTime,,,Time R,,,,,Time L,,,Cones,,AdjTime,,,Time R,,,,Time L,,,Cones,AdjTime,,,Best Time,,,Penalty,,,Score
25,,105,,,Rose Hulman Inst of Tech,,,,,,,6.09,,,,6.12,,,,,1,,6.23,,,,5.484,,,,,5.27,,,,,,,5.377,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,5.377,,,,,,41.86
26,,86,,,Villanova Univ,,,,,,,5.48,,,,6.187,,,,,,,DNF,,,,5.667,,,,,5.35,,,,,,,5.508,,,5.496,,,,,5.297,,,,,5.396,,,5.59,,,,5.407,,,,5.498,,,5.396,,,,,,40.7
27,,144,,,Kansas State Univ,,,,,,,5.36,,,,,,,,,,,DNF,,,,5.6,,,,,5.266,,,,,,,5.433,,,17.65,,,,,,,,,,DNF,,,5.413,,,,5.396,,,,5.404,,,5.404,,,,,,40.22
28,,94,,,Temple Univ,,,,,,,6.393,,,,6.377,,,,,,,6.385,,,,5.466,,,,,5.364,,,,,,,5.415,,,6.676,,,,,6.64,,,1,,6.783,,,6.796,,,,6.413,,,,6.604,,,5.415,,,,,,39.55
29,,126,,,Univ of Puerto Rico-Mayaquez,,,,,,,5.49,,,,5.787,,,,,2,,5.888,,,,5.416,,,,,5.417,,,,,,,5.416,,,5.433,,,,,5.41,,,,,5.421,,,5.69,,,,5.43,,,2,5.81,,,5.416,,,,,,39.49
30,,83,,,Western Michigan Univ,,,,,,,5.87,,,,5.47,,,,,,,5.67,,,,5.6,,,,,5.393,,,,,,,5.496,,,5.826,,,,,5.293,,,,,5.559,,,5.497,,,,5.397,,,,5.447,,,5.447,,,,,,37.64
31,,23,,,Embry-Riddle Aero Univ - Daytona Beach,,,,,,,6.19,,,,5.34,,,,,,,5.765,,,,5.53,,,,,5.371,,,,,,,5.45,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,5.45,,,,,,37.46
32,,51,,,Minnesota State University - Mankato,,,,,,,5.547,,,,5.367,,,,,,,5.457,,,,5.33,,,,,5.313,,,,,3,,5.696,,,5.683,,,,,5.497,,,,,5.59,,,5.397,,,,5.413,,,,DNF,,,5.457,,,,,,37.05
33,,43,,,Univ of Calgary,,,,,,,5.794,,,,5.786,,,,,,,5.79,,,,5.72,,,,,5.68,,,,,,,5.7,,,5.713,,,,,5.646,,,,,5.679,,,5.553,,,,5.367,,,,5.46,,,5.46,,,,,,36.87
34,,71,,,Oklahoma State Univ,,,,,,,5.653,,,,5.546,,,,,2,,5.849,,,,5.45,,,,,5.33,,,,,1,,5.515,,,5.443,,,,,5.493,,,,,5.468,,,5.444,,,,7.62,,,1,6.657,,,5.468,,,,,,36.4
35 T,,16,,,Grand Valley State Univ,,,,,,,5.883,,,,5.613,,,,,,,5.748,,,,5.47,,,,,5.476,,,,,,,5.473,,,6.843,,,,,5.846,,,,,6.344,,,5.73,,,,5.516,,,,5.623,,,5.473,,,,,,36.11
35 T,,82,,,Georgia Institute of Technology,,,,,,,5.66,,,,5.46,,,,,2,,5.81,,,,5.466,,,,,5.48,,,,,,,5.473,,,5.704,,,,,5.76,,,1,,5.857,,,5.81,,,,20.46,,,,13.135,,,5.473,,,,,,36.11
37,,48,,,Colorado Mesa University,,,,,,,5.994,,,,6.14,,,,,3,,6.442,,,,5.607,,,,,5.35,,,,,,,5.478,,,7.294,,,,,6.823,,,1,,7.183,,,5.98,,,,5.887,,,1,6.058,,,5.478,,,,,,35.82
38,,114,,,Saginaw Valley State Univ,,,,,,,5.694,,,,5.666,,,,,,,5.68,,,,5.62,,,,,5.377,,,,,,,5.498,,,5.58,,,,,5.617,,,,,5.598,,,5.573,,,,5.41,,,,5.491,,,5.491,,,,,,35.06
,,,,,,,,,,,,Driver 1 Run 1,,,,,,,,,,,,,,,Driver 1 Run 2,,,,,,,,,,,,,,,Driver 2 Run 1,,,,,,,,,,,,,Driver 2 Run 2,,,,,,,,,,,,,,,,,
39,,13,,,Univ of Kansas - Lawrence,,,,,,,5.81,,,,5.623,,,,,,,5.716,,,,5.524,,,,,5.476,,,,,,,5.5,,,5.977,,,,,5.706,,,,,5.841,,,5.893,,,,,,,,DNF,,,5.5,,,,,,34.55
40,,89,,,Mississippi State Univ,,,,,,,5.973,,,,5.566,,,,,,,5.769,,,,5.543,,,,,5.473,,,,,,,5.508,,,6.093,,,,,5.75,,,,,5.921,,,,,,,,,,,DNA,,,5.508,,,,,,34.09
41,,115,,,Univ of Texas - Arlington,,,,,,,5.757,,,,6.403,,,,,,,DNF,,,,5.734,,,,,5.413,,,,,,,5.573,,,5.5,,,,,5.457,,,1,,DNF,,,5.627,,,,5.393,,,,5.51,,,5.51,,,,,,33.97
42,,56,,,Clemson Univ,,,,,,,5.666,,,,5.773,,,,,,,5.719,,,,5.567,,,,,5.474,,,,,,,5.52,,,66.873,,,,,,,,,,DNF,,,,,,,,,,,DNA,,,5.52,,,,,,33.4
43,,137,,,Iowa State Univ,,,,,,,5.77,,,,5.447,,,,,,,5.608,,,,5.456,,,,,5.24,,,,,,,DNF,,,5.617,,,,,5.444,,,,,5.53,,,5.483,,,,5.2,,,3,5.716,,,5.53,,,,,,32.83
44,,119,,,Univ of New Hampshire,,,,,,,,,,,,,,,,,,DNF,,,,5.444,,,,,5.63,,,,,2,,5.787,,,5.726,,,,,5.37,,,,,5.548,,,5.707,,,,5.267,,,1,5.612,,,5.548,,,,,,31.82
45,,34,,,California State Univ - Northridge,,,,,,,5.857,,,,5.95,,,,,,,5.903,,,,5.756,,,,,5.574,,,,,,,5.665,,,5.753,,,,,5.567,,,,,5.66,,,5.704,,,,5.406,,,,5.555,,,5.555,,,,,,31.43
46,,72,,,Univ of Cincinnati,,,,,,,6.317,,,,5.893,,,,,,,6.105,,,,6.013,,,,,5.404,,,,,,,5.708,,,5.697,,,,,5.707,,,,,5.702,,,5.603,,,,5.524,,,,5.563,,,5.563,,,,,,30.98
47,,29,,,California State Univ - Chico,,,,,,,6.474,,,,,,,,,,,DNF,,,,5.703,,,,,5.456,,,,,,,5.579,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,5.579,,,,,,30.1
48,,113,,,Univ of Oklahoma,,,,,,,5.983,,,,5.707,,,,,,,5.845,,,,5.693,,,,,5.467,,,,,,,5.58,,,6.08,,,,,5.697,,,,,5.888,,,6.297,,,,5.77,,,1,6.158,,,5.58,,,,,,30.04
49,,14,,,California Polytechnic State Univ-SLO,,,,,,,5.783,,,,5.564,,,,,,,5.673,,,,5.69,,,,,5.477,,,,,,,5.583,,,5.8,,,,,5.927,,,,,5.863,,,5.81,,,,6.007,,,,5.908,,,5.583,,,,,,29.88
50,,37,,,Michigan Tech Univ,,,,,,,,,,,,,,,,,,DNF,,,,5.59,,,,,5.58,,,,,,,5.585,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,5.585,,,,,,29.77
51,,58,,,Drexel Univ,,,,,,,6.167,,,,6.06,,,,,,,6.113,,,,6.127,,,,,6.01,,,,,,,6.068,,,5.74,,,,,5.85,,,,,5.795,,,5.537,,,,5.647,,,,5.592,,,5.592,,,,,,29.38
52,,134,,,Univ of Minnesota - Twin Cities,,,,,,,5.813,,,,5.76,,,,,,,5.786,,,,5.667,,,,,5.617,,,,,,,5.642,,,5.7,,,,,5.693,,,,,5.696,,,5.573,,,,5.643,,,,5.608,,,5.608,,,,,,28.51
53,,20,,,Clarkson University,,,,,,,5.667,,,,5.58,,,,,,,5.623,,,,5.657,,,,,5.567,,,,,,,5.612,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,5.612,,,,,,28.3
